method,seed,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
AMSC-no-norm,86,0.6107417596764547,0.21326323806072725,0.17599500226281797,4.958333333333333,5.958333333333333,5.943285250000135
AMSC-no-norm,87,0.6004561382997086,0.23079825107239468,0.16874561062789672,5.125,6.125,6.1092238001835355
AMSC-no-norm,88,0.5982019918641787,0.22855395933387693,0.17324404880194436,5.125,6.125,6.109984120498244
AMSC-no-norm,89,0.6060318357892392,0.22108493580556732,0.1728832284051934,5.041666666666667,6.041666666666667,6.0260811536740135
AMSC-no-norm,90,0.599660993268981,0.23114099148946357,0.16919801524155545,5.083333333333333,6.083333333333333,6.066042628682065
AMSC-no-norm,91,0.6028789799802333,0.2241879924924837,0.17293302752728293,5.125,6.125,6.107250453346346
AMSC-no-norm,92,0.6204110079834347,0.1965155490936944,0.18307344292287095,4.833333333333333,5.833333333333333,5.8193154499178315
AMSC-norm,86,0.706688504824379,0.0,0.293311495175621,2.75,3.75,3.7441474326405575
AMSC-norm,87,0.6924383797899417,0.0,0.3075616202100583,2.4583333333333335,3.4583333333333335,3.4535668595252513
AMSC-norm,88,0.7113852486209907,0.0,0.28861475137900927,2.7083333333333335,3.7083333333333335,3.7016704735429813
AMSC-norm,89,0.692235319765579,0.0,0.3077646802344211,2.4583333333333335,3.4583333333333335,3.452500004777973
AMSC-norm,90,0.6952587533275129,0.0,0.30474124667248703,2.5,3.5,3.4938836836748095
AMSC-norm,91,0.6993535531406617,0.0,0.30064644685933833,2.7083333333333335,3.7083333333333335,3.7020913321007556
AMSC-norm,92,0.7088024105923383,0.0,0.2911975894076617,2.625,3.625,3.6183537543049815
AMSC-shuffled,86,0.16401658048176868,0.5074816167942621,0.3285018027239692,2.5,3.5,3.4965593411422073
AMSC-shuffled,87,0.09930836573291459,0.548193835407512,0.35249779885957344,2.1666666666666665,3.1666666666666665,3.163579739154207
AMSC-shuffled,88,0.08040430802081693,0.5906258825752025,0.3289698094039806,2.375,3.375,3.371665999111689
AMSC-shuffled,89,0.14745467135883644,0.5232410461122711,0.3293042825288925,2.4166666666666665,3.4166666666666665,3.4137471481145245
AMSC-shuffled,90,0.14985693298201044,0.5167710576236835,0.33337200939430606,2.375,3.375,3.3708632955324043
AMSC-shuffled,91,0.14159022841777666,0.531316966648555,0.3270928049336684,2.5,3.5,3.4958284126335535
AMSC-shuffled,92,0.15694516912650783,0.5172690798370599,0.32578575103643215,2.4583333333333335,3.4583333333333335,3.455319194455502
