method,seed,task_idx,support_size,count
AMSC-no-norm,86,4,4,100
AMSC-no-norm,86,5,5,100
AMSC-no-norm,86,6,6,100
AMSC-no-norm,86,7,7,100
AMSC-no-norm,86,8,4,33
AMSC-no-norm,86,8,5,31
AMSC-no-norm,86,8,6,36
AMSC-no-norm,86,9,5,64
AMSC-no-norm,86,9,6,36
AMSC-no-norm,86,10,7,5
AMSC-no-norm,86,10,8,95
AMSC-no-norm,86,11,5,99
AMSC-no-norm,86,11,6,1
AMSC-no-norm,86,12,3,93
AMSC-no-norm,86,12,4,3
AMSC-no-norm,86,12,5,4
AMSC-no-norm,86,13,3,92
AMSC-no-norm,86,13,4,7
AMSC-no-norm,86,13,5,1
AMSC-no-norm,86,14,3,100
AMSC-no-norm,86,15,3,100
AMSC-no-norm,86,16,4,100
AMSC-no-norm,86,17,4,100
AMSC-no-norm,86,18,4,100
AMSC-no-norm,86,19,4,100
AMSC-no-norm,86,20,5,100
AMSC-no-norm,86,21,5,100
AMSC-no-norm,86,22,5,100
AMSC-no-norm,86,23,5,100
AMSC-no-norm,86,24,6,100
AMSC-no-norm,86,25,6,100
AMSC-no-norm,86,26,6,100
AMSC-no-norm,86,27,6,100
AMSC-no-norm,87,4,4,100
AMSC-no-norm,87,5,5,100
AMSC-no-norm,87,6,6,100
AMSC-no-norm,87,7,6,1
AMSC-no-norm,87,7,7,99
AMSC-no-norm,87,8,4,60
AMSC-no-norm,87,8,5,9
AMSC-no-norm,87,8,6,31
AMSC-no-norm,87,9,5,9
AMSC-no-norm,87,9,6,86
AMSC-no-norm,87,9,7,5
AMSC-no-norm,87,10,7,1
AMSC-no-norm,87,10,8,99
AMSC-no-norm,87,11,4,17
AMSC-no-norm,87,11,5,83
AMSC-no-norm,87,12,3,47
AMSC-no-norm,87,12,4,53
AMSC-no-norm,87,13,3,93
AMSC-no-norm,87,13,4,5
AMSC-no-norm,87,13,5,2
AMSC-no-norm,87,14,3,8
AMSC-no-norm,87,14,4,10
AMSC-no-norm,87,14,5,13
AMSC-no-norm,87,14,6,40
AMSC-no-norm,87,14,7,18
AMSC-no-norm,87,14,8,9
AMSC-no-norm,87,14,9,2
AMSC-no-norm,87,15,3,100
AMSC-no-norm,87,16,4,100
AMSC-no-norm,87,17,4,100
AMSC-no-norm,87,18,4,100
AMSC-no-norm,87,19,4,100
AMSC-no-norm,87,20,5,100
AMSC-no-norm,87,21,5,100
AMSC-no-norm,87,22,5,100
AMSC-no-norm,87,23,5,100
AMSC-no-norm,87,24,6,100
AMSC-no-norm,87,25,6,100
AMSC-no-norm,87,26,6,100
AMSC-no-norm,87,27,6,100
AMSC-no-norm,88,4,4,100
AMSC-no-norm,88,5,5,100
AMSC-no-norm,88,6,6,100
AMSC-no-norm,88,7,7,100
AMSC-no-norm,88,8,4,38
AMSC-no-norm,88,8,5,30
AMSC-no-norm,88,8,6,32
AMSC-no-norm,88,9,5,6
AMSC-no-norm,88,9,6,93
AMSC-no-norm,88,9,9,1
AMSC-no-norm,88,10,8,100
AMSC-no-norm,88,11,3,91
AMSC-no-norm,88,11,4,8
AMSC-no-norm,88,11,5,1
AMSC-no-norm,88,12,3,88
AMSC-no-norm,88,12,4,9
AMSC-no-norm,88,12,5,3
AMSC-no-norm,88,13,3,66
AMSC-no-norm,88,13,4,32
AMSC-no-norm,88,13,5,1
AMSC-no-norm,88,13,7,1
AMSC-no-norm,88,14,3,28
AMSC-no-norm,88,14,4,4
AMSC-no-norm,88,14,5,3
AMSC-no-norm,88,14,6,11
AMSC-no-norm,88,14,7,6
AMSC-no-norm,88,14,8,26
AMSC-no-norm,88,14,9,22
AMSC-no-norm,88,15,3,100
AMSC-no-norm,88,16,4,100
AMSC-no-norm,88,17,4,100
AMSC-no-norm,88,18,4,100
AMSC-no-norm,88,19,4,100
AMSC-no-norm,88,20,5,100
AMSC-no-norm,88,21,5,100
AMSC-no-norm,88,22,5,100
AMSC-no-norm,88,23,5,100
AMSC-no-norm,88,24,6,100
AMSC-no-norm,88,25,6,100
AMSC-no-norm,88,26,6,100
AMSC-no-norm,88,27,6,100
AMSC-no-norm,89,4,4,100
AMSC-no-norm,89,5,5,100
AMSC-no-norm,89,6,6,100
AMSC-no-norm,89,7,7,100
AMSC-no-norm,89,8,4,8
AMSC-no-norm,89,8,5,22
AMSC-no-norm,89,8,6,70
AMSC-no-norm,89,9,5,38
AMSC-no-norm,89,9,6,62
AMSC-no-norm,89,10,7,3
AMSC-no-norm,89,10,8,97
AMSC-no-norm,89,11,4,2
AMSC-no-norm,89,11,5,98
AMSC-no-norm,89,12,3,76
AMSC-no-norm,89,12,4,4
AMSC-no-norm,89,12,5,15
AMSC-no-norm,89,12,6,5
AMSC-no-norm,89,13,3,89
AMSC-no-norm,89,13,4,11
