method,depth,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-3,3,support_size,1.0,1.0,1.0,7
Mask-SC-3,3,support_fraction,0.18988095238095237,0.18988095238095237,0.18988095238095237,7
Mask-SC-3,3,same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,3,same_family_recall,1.0,1.0,1.0,7
Mask-SC-3,3,any_same_family,1.0,1.0,1.0,7
Mask-SC-3,3,parent_selected,1.0,1.0,1.0,7
Mask-SC-3,3,family_pure_support,1.0,1.0,1.0,7
Mask-SC-3,3,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-3,3,cap_utilization,0.3333333333333334,0.3333333333333334,0.3333333333333334,7
Mask-SC-3,3,raw_support_size,1.0,1.0,1.0,7
Mask-SC-3,3,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,3,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-3,3,raw_parent_selected,1.0,1.0,1.0,7
Mask-SC-3,3,raw_cap_utilization,0.3333333333333334,0.3333333333333334,0.3333333333333334,7
Mask-SC-3,3,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-3,3,selected_similarity_mean,0.7904004167857143,0.7860800286556355,0.794720804915793,7
Mask-SC-3,3,raw_selected_similarity_mean,0.7904004167857143,0.7860800286556355,0.794720804915793,7
Mask-SC-3,3,threshold_qualified_count,1.0,1.0,1.0,7
Mask-SC-3,3,first_correct_found,1.0,1.0,1.0,7
Mask-SC-3,3,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-3,3,steps_until_first_correct,512.0,512.0,512.0,7
Mask-SC-3,4,support_size,2.0,2.0,2.0,7
Mask-SC-3,4,support_fraction,0.21351010101010104,0.21351010101010104,0.21351010101010104,7
Mask-SC-3,4,same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,4,same_family_recall,1.0,1.0,1.0,7
Mask-SC-3,4,any_same_family,1.0,1.0,1.0,7
Mask-SC-3,4,parent_selected,1.0,1.0,1.0,7
Mask-SC-3,4,family_pure_support,1.0,1.0,1.0,7
Mask-SC-3,4,jaccard_stability,1.0,1.0,1.0,7
Mask-SC-3,4,cap_utilization,0.6666666666666669,0.6666666666666669,0.6666666666666669,7
Mask-SC-3,4,raw_support_size,2.0,2.0,2.0,7
Mask-SC-3,4,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,4,raw_same_family_recall,1.0,1.0,1.0,7
Mask-SC-3,4,raw_parent_selected,1.0,1.0,1.0,7
