method,metric,mean,ci_low,ci_high,n_seeds
Mask-SC-3,support_size,2.5,2.5,2.5,7
Mask-SC-3,support_fraction,0.17617926827868444,0.17617926827868444,0.17617926827868444,7
Mask-SC-3,same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,same_family_recall,0.8083333333333333,0.8083333333333332,0.8083333333333335,7
Mask-SC-3,any_same_family,1.0,1.0,1.0,7
Mask-SC-3,parent_selected,0.9770833333333332,0.9672267835275404,0.986939883139126,7
Mask-SC-3,family_pure_support,1.0,1.0,1.0,7
Mask-SC-3,jaccard_stability,0.9351671476671476,0.9244421865691178,0.9458921087651774,7
Mask-SC-3,cap_utilization,0.8333333333333333,0.8333333333333331,0.8333333333333334,7
Mask-SC-3,raw_support_size,2.5,2.5,2.5,7
Mask-SC-3,raw_same_family_precision,1.0,1.0,1.0,7
Mask-SC-3,raw_same_family_recall,0.8083333333333333,0.8083333333333332,0.8083333333333335,7
Mask-SC-3,raw_parent_selected,0.9770833333333332,0.9672267835275404,0.986939883139126,7
Mask-SC-3,raw_cap_utilization,0.8333333333333333,0.8333333333333331,0.8333333333333334,7
Mask-SC-3,performance_filter_retention,1.0,1.0,1.0,7
Mask-SC-3,selected_similarity_mean,0.8113286314583333,0.8092632453284697,0.813394017588197,7
Mask-SC-3,raw_selected_similarity_mean,0.8113286314583333,0.8092632453284697,0.813394017588197,7
Mask-SC-3,threshold_qualified_count,3.5001190476190476,3.4998857142857145,3.5003523809523807,7
Mask-SC-3,first_correct_found,1.0,1.0,1.0,7
Mask-SC-3,selection_events_until_first_correct,1.0,1.0,1.0,7
Mask-SC-3,steps_until_first_correct,512.0,512.0,512.0,7
