method,seed,run_dir,task_idx,task_name,family,depth,layer,component_idx,component_role,beta_logit,beta_weight,selected_prior_count,effective_n,source
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.phi_body.layers.0,0,same_family,0.2288874387741089,0.5144397052761737,1,1.998333349312894,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.phi_body.layers.0,4,current,0.1711125522851944,0.4855602947238263,1,1.998333349312894,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.phi_body.layers.1,0,same_family,0.2488458752632141,0.5244035346596527,1,1.9952470620849903,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.phi_body.layers.1,4,current,0.15115411579608917,0.4755964653403472,1,1.9952470620849903,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.phi_body.layers.2,0,same_family,0.27059581875801086,0.5352392967122932,1,1.9901146386224464,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.phi_body.layers.2,4,current,0.12940454483032227,0.4647607032877067,1,1.9901146386224464,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.fc_action,0,same_family,0.279802143573761,0.539816618925202,1,1.9873970160836751,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.fc_action,4,current,0.12019772082567215,0.46018338107479784,1,1.9873970160836751,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.fc_critic,0,same_family,0.1956392228603363,0.4978196237610058,1,1.9999619683988665,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,4,F1-D3,F1,3,network.fc_critic,4,current,0.20436078310012817,0.5021803762389943,1,1.9999619683988665,checkpoint_reconstruction
Mask-SC-oracle,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/checklist_runs/ct28-interleaved-MaskSC-oracle/MetaCTgraph-ppo-supermask-86-mask-linear_comb-ct14_md/260619-213307,5,F2-D3,F2,3,network.phi_body.layers.0,1,same_family,0.16751374304294586,0.5004235356033129,1,1.9999985649417715,checkpoint_reconstruction
