method,seed,run_dir,task_idx,task_name,family,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,effective_n,active_component_count
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,0,CurriculumMultiRoomObjectRemapEnv-BallLava-R2-v0,BallLava,2,0.0,0.0,1.0,0.0,1.0,1.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,1,CurriculumMultiRoomObjectRemapEnv-LavaBall-R2-v0,LavaBall,2,0.0,0.48708580687883024,0.5129141931211697,1.0,1.9934378036524678,2.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,2,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R2-v0,KeyBoxSwap,2,0.0,0.5009974606076382,0.49900253939236183,1.0,1.9659703372483943,2.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,3,CurriculumMultiRoomObjectRemapEnv-Identity-R2-v0,Identity,2,0.0,0.46493562794877336,0.5350643720512267,1.0,1.967868095732167,2.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,4,CurriculumMultiRoomObjectRemapEnv-BallLava-R3-v0,BallLava,3,0.5382808815240325,0.0,0.46171911847596736,1.0,1.9837124904078387,2.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,5,CurriculumMultiRoomObjectRemapEnv-LavaBall-R3-v0,LavaBall,3,0.2840125278864371,0.45996419778448894,0.25602327432907385,3.0,3.9390655248567383,4.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,6,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R3-v0,KeyBoxSwap,3,0.5644125368507711,0.0,0.43558746314922897,1.0,1.9444397894866416,2.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,7,CurriculumMultiRoomObjectRemapEnv-Identity-R3-v0,Identity,3,0.2633490097627912,0.4823949160670158,0.2542560741701931,3.0,3.9759632502467745,4.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,8,CurriculumMultiRoomObjectRemapEnv-BallLava-R4-v0,BallLava,4,0.6766125069809164,0.0,0.32338749301908376,2.0,2.977366311234582,3.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,9,CurriculumMultiRoomObjectRemapEnv-LavaBall-R4-v0,LavaBall,4,0.6515034929638224,0.0,0.34849650703617774,2.0,2.9588505510485477,3.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,10,CurriculumMultiRoomObjectRemapEnv-KeyBoxSwap-R4-v0,KeyBoxSwap,4,0.7534851752741438,0.0,0.24651482472585617,2.0,2.8492171890561306,3.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,11,CurriculumMultiRoomObjectRemapEnv-Identity-R4-v0,Identity,4,0.6370930141750912,0.0,0.3629069858249087,2.0,2.96853467973966,3.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,12,CurriculumMultiRoomObjectRemapEnv-BallLava-R5-v0,BallLava,5,0.794121006046202,0.0,0.2058789939537981,3.0,3.941640711676137,4.0
AMSC-norm,86,/home/lunet/cosn2/side_projects/LARA/mask-lrl-cluster-optimization/log/AMSC_runs/mg16-interleaved-AMSC-lwe-norm/Minigrid-ppo-supermask-86-mask-linear_comb-no_task_label-mg10/260622-121547,13,CurriculumMultiRoomObjectRemapEnv-LavaBall-R5-v0,LavaBall,5,0.7674958888829475,0.0,0.23250411111705235,3.0,3.8807697261591607,4.0
