method,seed,task_idx,support_size,count
AMSC-norm,86,1,1,200
AMSC-norm,86,2,1,200
AMSC-norm,86,3,1,200
AMSC-norm,86,4,1,187
AMSC-norm,86,4,2,9
AMSC-norm,86,4,3,4
AMSC-norm,86,5,2,1
AMSC-norm,86,5,3,199
AMSC-norm,86,6,1,182
AMSC-norm,86,6,2,14
AMSC-norm,86,6,3,4
AMSC-norm,86,7,2,31
AMSC-norm,86,7,3,169
AMSC-norm,86,8,2,197
AMSC-norm,86,8,3,3
AMSC-norm,86,9,2,197
AMSC-norm,86,9,3,1
AMSC-norm,86,9,4,2
AMSC-norm,86,10,1,2
AMSC-norm,86,10,2,198
AMSC-norm,86,11,1,3
AMSC-norm,86,11,2,132
AMSC-norm,86,11,3,24
AMSC-norm,86,11,4,40
AMSC-norm,86,11,5,1
AMSC-norm,86,12,2,13
AMSC-norm,86,12,3,186
AMSC-norm,86,12,5,1
AMSC-norm,86,13,3,200
AMSC-norm,86,14,2,199
AMSC-norm,86,14,3,1
AMSC-norm,86,15,1,177
AMSC-norm,86,15,2,21
AMSC-norm,86,15,3,2
AMSC-norm,87,1,1,200
AMSC-norm,87,2,1,200
AMSC-norm,87,3,1,200
AMSC-norm,87,4,1,197
AMSC-norm,87,4,2,3
AMSC-norm,87,5,1,1
AMSC-norm,87,5,2,129
AMSC-norm,87,5,3,70
AMSC-norm,87,6,1,198
AMSC-norm,87,6,2,2
AMSC-norm,87,7,1,138
AMSC-norm,87,7,2,39
AMSC-norm,87,7,3,23
AMSC-norm,87,8,2,200
AMSC-norm,87,9,2,200
AMSC-norm,87,10,2,151
AMSC-norm,87,10,3,44
AMSC-norm,87,10,4,5
AMSC-norm,87,11,2,200
AMSC-norm,87,12,1,2
AMSC-norm,87,12,2,194
AMSC-norm,87,12,3,4
AMSC-norm,87,13,2,34
AMSC-norm,87,13,3,79
AMSC-norm,87,13,4,61
AMSC-norm,87,13,5,26
AMSC-norm,87,14,2,182
AMSC-norm,87,14,3,18
AMSC-norm,87,15,2,66
AMSC-norm,87,15,3,131
AMSC-norm,87,15,4,1
AMSC-norm,87,15,5,2
AMSC-norm,88,1,1,200
AMSC-norm,88,2,1,200
AMSC-norm,88,3,1,200
AMSC-norm,88,4,1,200
AMSC-norm,88,5,1,185
AMSC-norm,88,5,2,13
AMSC-norm,88,5,3,2
AMSC-norm,88,6,1,200
AMSC-norm,88,7,2,27
AMSC-norm,88,7,3,173
AMSC-norm,88,8,2,200
AMSC-norm,88,9,2,198
AMSC-norm,88,9,4,2
AMSC-norm,88,10,2,200
AMSC-norm,88,11,2,171
AMSC-norm,88,11,3,28
AMSC-norm,88,11,4,1
AMSC-norm,88,12,3,200
AMSC-norm,88,13,2,188
AMSC-norm,88,13,3,12
AMSC-norm,88,14,1,36
AMSC-norm,88,14,2,53
AMSC-norm,88,14,3,111
AMSC-norm,88,15,2,35
AMSC-norm,88,15,3,95
AMSC-norm,88,15,4,70
AMSC-norm,89,1,1,200
AMSC-norm,89,2,1,200
AMSC-norm,89,3,1,9
AMSC-norm,89,3,2,191
AMSC-norm,89,4,1,92
AMSC-norm,89,4,2,107
AMSC-norm,89,4,3,1
AMSC-norm,89,5,1,1
AMSC-norm,89,5,2,90
AMSC-norm,89,5,3,109
AMSC-norm,89,6,1,34
AMSC-norm,89,6,2,166
AMSC-norm,89,7,1,2
AMSC-norm,89,7,2,189
AMSC-norm,89,7,3,9
AMSC-norm,89,8,2,200
AMSC-norm,89,9,2,61
AMSC-norm,89,9,3,98
AMSC-norm,89,9,4,17
AMSC-norm,89,9,5,24
AMSC-norm,89,10,2,164
AMSC-norm,89,10,3,31
AMSC-norm,89,10,4,4
AMSC-norm,89,10,5,1
AMSC-norm,89,11,2,126
AMSC-norm,89,11,3,74
AMSC-norm,89,12,2,11
AMSC-norm,89,12,3,187
AMSC-norm,89,12,5,2
AMSC-norm,89,13,1,17
AMSC-norm,89,13,2,88
AMSC-norm,89,13,3,86
AMSC-norm,89,13,4,3
AMSC-norm,89,13,5,6
AMSC-norm,89,14,1,200
AMSC-norm,89,15,1,33
AMSC-norm,89,15,2,9
AMSC-norm,89,15,3,158
AMSC-norm,90,1,1,200
AMSC-norm,90,2,1,200
AMSC-norm,90,3,1,2
AMSC-norm,90,3,2,198
AMSC-norm,90,4,1,199
AMSC-norm,90,4,2,1
AMSC-norm,90,5,3,200
AMSC-norm,90,6,1,198
AMSC-norm,90,6,2,2
AMSC-norm,90,7,1,100
AMSC-norm,90,7,2,43
AMSC-norm,90,7,3,57
AMSC-norm,90,8,2,198
AMSC-norm,90,8,3,2
AMSC-norm,90,9,1,102
AMSC-norm,90,9,2,2
AMSC-norm,90,9,3,6
AMSC-norm,90,9,4,90
AMSC-norm,90,10,1,2
AMSC-norm,90,10,2,198
AMSC-norm,90,11,2,199
AMSC-norm,90,11,5,1
AMSC-norm,90,12,2,34
AMSC-norm,90,12,3,85
AMSC-norm,90,12,4,54
AMSC-norm,90,12,5,26
AMSC-norm,90,12,6,1
AMSC-norm,90,13,2,200
AMSC-norm,90,14,2,193
AMSC-norm,90,14,3,7
