method,seed,depth,same_family_beta_mass,cross_family_beta_mass,current_beta_mass,selected_prior_count,active_component_count,effective_n
Mask-SC-4,86,3,0.5780822039105613,0.0,0.4219177960894387,1.0,2.0,1.9130114004931866
Mask-SC-4,86,4,0.7237183809533514,0.0,0.27628161904664855,2.0,3.0,2.89399464652655
Mask-SC-4,86,5,0.7615246855078345,0.0419111510612181,0.19656416343094743,3.25,4.25,4.134494306404563
Mask-SC-4,87,3,0.40114660150332554,0.0,0.5988533984966745,0.75,1.75,1.7217906264682172
Mask-SC-4,87,4,0.6406580372988355,0.0,0.3593419627011646,1.75,2.75,2.6833315833123943
Mask-SC-4,87,5,0.6727849584295356,0.05341680219730392,0.2737982393731605,3.0,4.0,3.941452765505975
Mask-SC-4,88,3,0.41196273878372625,0.0,0.5880372612162738,0.75,1.75,1.7155639128862452
Mask-SC-4,88,4,0.6837569595806311,0.0,0.31624304041936885,2.0,3.0,2.9412921765311206
Mask-SC-4,88,5,0.7170107362117901,0.04496747435246649,0.2380217894357433,3.0,4.0,3.916090266784467
Mask-SC-4,89,3,0.315284142250851,0.13300420197014623,0.5517116557790027,1.25,2.25,2.1785819835842846
Mask-SC-4,89,4,0.5262714939795632,0.1644230748264932,0.3093054311939436,2.75,3.75,3.5705129639751094
Mask-SC-4,89,5,0.647743059046701,0.11964511468724545,0.2326118262660536,3.5,4.5,4.378011170990879
Mask-SC-4,90,3,0.5343831825051691,0.0,0.4656168174948308,1.0,2.0,1.9337533687003094
Mask-SC-4,90,4,0.5949350354019921,0.09734486455841465,0.30772010003959327,2.25,3.25,3.1765384270198194
Mask-SC-4,90,5,0.5459256935751351,0.03139261969888281,0.42268168672598205,2.5,3.5,3.388175739224368
Mask-SC-4,91,3,0.37166005074021013,0.0,0.6283399492597899,0.75,1.75,1.7430837658488632
Mask-SC-4,91,4,0.4191076887397722,0.2622229156929582,0.3186693955672696,2.75,3.75,3.643590819956534
Mask-SC-4,91,5,0.6753122553534572,0.0532130396482175,0.27147470499832527,2.75,3.75,3.681053636823382
Mask-SC-4,92,3,0.6074769967304916,0.0,0.3925230032695084,1.0,2.0,1.8480497606331163
Mask-SC-4,92,4,0.6866104660482962,0.0,0.3133895339517037,1.75,2.75,2.6510166402695226
Mask-SC-4,92,5,0.7175243655815231,0.08782579166809622,0.1946498427503807,3.25,4.25,4.112577902063497
